move_name,type,category,power,accuracy,pp,makes_contact,introduced,effect,z_effect
Baton Pass,Normal,Status,,,40,false,2,"Baton Passcauses the user to switch out for another Pokémon, passing any stat changes to the Pokémon that switches in. These effects are passed:","When a Pokémon is holdingNormalium Zand uses its Z-Power,Baton Passturns intoZ-Baton Passand eliminates any stat drops applied to the user, in addition to its usual effect as above."
Metal Sound,Steel,Status,,85,40,false,3,Metal Soundlowers the target's Special Defense by two stages.,"When a Pokémon is holdingSteelium Zand uses its Z-Power,Metal Soundturns intoZ-Metal Soundand raises Special Attack one stage, in addition to its usual effect as above."
Air Cutter,Flying,Special,60,95,25,false,3,Air Cutterdeals damage and has an increased critical hit ratio (1⁄8instead of1⁄24).,"When a Pokémon is holdingFlyinium Zand uses its Z-Power,Air Cutterturns intoSupersonic Skystrikeand has base power120."
Ally Switch,Psychic,Status,,,15,false,5,"Ally Switchswaps the user with its teammate. In triple battles the user must be on either end, not in the middle.","When a Pokémon is holdingPsychium Zand uses its Z-Power,Ally Switchturns intoZ-Ally Switchand raises Speed two stages, in addition to its usual effect as above."
Teeter Dance,Normal,Status,,100,20,false,3,Teeter Dancecauses all adjacent Pokémon to become confused. In single battles this is simply the opponent; in double/triple battles it includes all adjacent opponents and teammate(s).,"When a Pokémon is holdingNormalium Zand uses its Z-Power,Teeter Danceturns intoZ-Teeter Danceand raises Special Attack one stage, in addition to its usual effect as above."
Withdraw,Water,Status,,,40,false,1,Withdrawraises the user's Defense by one stage.,"When a Pokémon is holdingWaterium Zand uses its Z-Power,Withdrawturns intoZ-Withdrawand raises Defense one stage, in addition to its usual effect as above."
Pounce,Bug,Physical,50,100,20,true,9,Lowers opponent's Speed.							(100% chance),
Night Slash,Dark,Physical,70,100,15,true,4,Night Slashdeals damage and has an increased critical hit ratio (1⁄8instead of1⁄24).,"When a Pokémon is holdingDarkinium Zand uses its Z-Power,Night Slashturns intoBlack Hole Eclipseand has base power140."
Drill Run,Ground,Physical,80,95,10,true,5,Drill Rundeals damage and has an increased critical hit ratio (1⁄8instead of1⁄24).,"When a Pokémon is holdingGroundium Zand uses its Z-Power,Drill Runturns intoTectonic Rageand has base power160."
Frustration,Normal,Physical,,100,20,true,2,The power ofFrustrationis higher when the Pokémon likes its trainer less. The base power varies between1(maximum Friendship) and102(minimum Friendship). The exact formula is:,"When a Pokémon is holdingNormalium Zand uses its Z-Power,Frustrationturns intoBreakneck Blitzand has base power160."
Body Press,Fighting,Physical,80,100,10,true,8,"The higher the user's Defense, the stronger the attack.",
Weather Ball,Normal,Special,50,100,10,false,3,"The power and type ofWeather Ballchanges with the weather. With no weather condition it isNormaland has a base power of 50. If a weather condition is in effect, its power doubles to 100 and the move becomes a different type:","When a Pokémon is holdingNormalium Zand uses its Z-Power,Weather Ballturns intoBreakneck Blitzand has base power160."
Double Shock,Electric,Physical,120,100,5,true,9,"After using this move, the user will no longer be Electric type.",
Light Screen,Psychic,Status,,,30,false,1,"Light Screenreduces damage from Special attacks by 50%, for 5 turns. Its effects apply to all Pokémon on the user's side of the field.","When a Pokémon is holdingPsychium Zand uses its Z-Power,Light Screenturns intoZ-Light Screenand raises Special Defense one stage, in addition to its usual effect as above."
Bone Rush,Ground,Physical,25,90,10,false,2,"Bone Rushhits 2-5 times per turn used. The probability of each interval is shown in the table, with the total power after each hit.","When a Pokémon is holdingGroundium Zand uses its Z-Power,Bone Rushturns intoTectonic Rageand has base power140."
Safeguard,Normal,Status,,,25,false,2,"The user's party is protected from status conditions.Z-Move effectsWhen a Pokémon is holdingNormalium Zand uses its Z-Power,Safeguardturns intoZ-Safeguardand raises Speed one stage, in addition to its usual effect as above.","When a Pokémon is holdingNormalium Zand uses its Z-Power,Safeguardturns intoZ-Safeguardand raises Speed one stage, in addition to its usual effect as above."
Skill Swap,Psychic,Status,,,10,false,3,"The user swaps Abilities with the opponent.Z-Move effectsWhen a Pokémon is holdingPsychium Zand uses its Z-Power,Skill Swapturns intoZ-Skill Swapand raises Speed one stage, in addition to its usual effect as above.","When a Pokémon is holdingPsychium Zand uses its Z-Power,Skill Swapturns intoZ-Skill Swapand raises Speed one stage, in addition to its usual effect as above."
Belly Drum,Normal,Status,,,10,false,2,"User loses 50% of its max HP, but Attack raises to maximum.Z-Move effectsWhen a Pokémon is holdingNormalium Zand uses its Z-Power,Belly Drumturns intoZ-Belly Drumand fully restores the user's HP, in addition to its usual effect as above.","When a Pokémon is holdingNormalium Zand uses its Z-Power,Belly Drumturns intoZ-Belly Drumand fully restores the user's HP, in addition to its usual effect as above."
Aqua Jet,Water,Physical,40,100,20,true,4,Aqua Jetdeals damage and has a priority of +1.,"When a Pokémon is holdingWaterium Zand uses its Z-Power,Aqua Jetturns intoHydro Vortexand has base power100."
Quick Attack,Normal,Physical,40,100,30,true,1,Quick Attackdeals damage and has a priority of +1.,"When a Pokémon is holdingNormalium Zand uses its Z-Power,Quick Attackturns intoBreakneck Blitzand has base power100."
Whirlpool,Water,Special,35,85,15,false,2,"Whirlpoolinflicts damage on the first turn then traps the opponentin the vortex, causing them to lose1⁄8of their maximum HP after each turn, for 4-5 turns.","When a Pokémon is holdingWaterium Zand uses its Z-Power,Whirlpoolturns intoHydro Vortexand has base power100.Outside of battleWhirlpoolallows you to cross swirling maelstroms in your path. OnlyGeneration 2andGeneration 4have whirlpools that can be passed."
Fire Punch,Fire,Physical,75,100,15,true,1,Fire Punchdeals damage and has a 10% chance of burning the target.,"When a Pokémon is holdingFirium Zand uses its Z-Power,Fire Punchturns intoInferno Overdriveand has base power140."
Overheat,Fire,Special,130,90,5,false,3,Overheatdeals damage but lowers the user's Special Attack by two stages after attacking.,"When a Pokémon is holdingFirium Zand uses its Z-Power,Overheatturns intoInferno Overdriveand has base power195."
Pay Day,Normal,Physical,40,100,20,false,1,"Money is earned after the battle.Z-Move effectsWhen a Pokémon is holdingNormalium Zand uses its Z-Power,Pay Dayturns intoBreakneck Blitzand has base power100.","When a Pokémon is holdingNormalium Zand uses its Z-Power,Pay Dayturns intoBreakneck Blitzand has base power100."
Fairy Wind,Fairy,Special,40,100,30,false,6,Fairy Winddeals damage with no added effects.,"When a Pokémon is holdingFairium Zand uses its Z-Power,Fairy Windturns intoTwinkle Tackleand has base power100."
Switcheroo,Dark,Status,,100,10,false,4,"Switcherooswitches held items with the target. It does not require both Pokémon to be holding an item, in which case the item is simply given to the target or received from it.","When a Pokémon is holdingDarkinium Zand uses its Z-Power,Switcherooturns intoZ-Switcherooand raises Speed two stages, in addition to its usual effect as above."
Leaf Blade,Grass,Physical,90,100,15,true,3,Leaf Bladedeals damage and has an increased critical hit ratio (1⁄8instead of1⁄24).,"When a Pokémon is holdingGrassium Zand uses its Z-Power,Leaf Bladeturns intoBloom Doomand has base power175."
Vacuum Wave,Fighting,Special,40,100,30,false,4,Vacuum Wavedeals damage and has a priority of +1.,"When a Pokémon is holdingFightinium Zand uses its Z-Power,Vacuum Waveturns intoAll-Out Pummelingand has base power100."
Hammer Arm,Fighting,Physical,100,90,10,true,4,Hammer Armdeals damage but lowers the user's Speed by one stage after attacking.,"When a Pokémon is holdingFightinium Zand uses its Z-Power,Hammer Armturns intoAll-Out Pummelingand has base power180."
Fleur Cannon,Fairy,Special,130,90,5,false,7,Fleur Cannondeals damage but lowers the user's Special Attack by two stages after attacking.,"When a Pokémon is holdingFairium Zand uses its Z-Power,Fleur Cannonturns intoTwinkle Tackleand has base power195."
Spark,Electric,Physical,65,100,20,true,2,Sparkdeals damage and has a 30% chance of paralyzing the target.,"When a Pokémon is holdingElectrium Zand uses its Z-Power,Sparkturns intoGigavolt Havocand has base power120."
High Horsepower,Ground,Physical,95,95,10,true,7,"The user fiercely attacks the target using its entire body.Z-Move effectsWhen a Pokémon is holdingGroundium Zand uses its Z-Power,High Horsepowerturns intoTectonic Rageand has base power175.","When a Pokémon is holdingGroundium Zand uses its Z-Power,High Horsepowerturns intoTectonic Rageand has base power175."
Extrasensory,Psychic,Special,80,100,20,false,3,Extrasensorydeals damage and has a 10% chance of causing the target to flinch (if the target has not yet moved).,"When a Pokémon is holdingPsychium Zand uses its Z-Power,Extrasensoryturns intoShattered Psycheand has base power160."
Discharge,Electric,Special,80,100,15,false,4,Dischargedeals damage and has a 30% chance of paralyzing the target(s).,"When a Pokémon is holdingElectrium Zand uses its Z-Power,Dischargeturns intoGigavolt Havocand has base power160."
Substitute,Normal,Status,,,10,false,1,"Uses HP to creates a decoy that takes hits.Z-Move effectsWhen a Pokémon is holdingNormalium Zand uses its Z-Power,Substituteturns intoZ-Substituteand eliminates any stat drops applied to the user, in addition to its usual effect as above.","When a Pokémon is holdingNormalium Zand uses its Z-Power,Substituteturns intoZ-Substituteand eliminates any stat drops applied to the user, in addition to its usual effect as above."
Psywave,Psychic,Special,,100,15,false,1,"Psywaveinflicts a random amount of HP damage, varying between 50% and 150% of the user's level. In other words, at level 100 the damage will be50-150 HP.","When a Pokémon is holdingPsychium Zand uses its Z-Power,Psywaveturns intoShattered Psycheand has base power100."
Power Trick,Psychic,Status,,,10,false,4,"User's own Attack and Defense switch.Z-Move effectsWhen a Pokémon is holdingPsychium Zand uses its Z-Power,Power Trickturns intoZ-Power Trickand raises Attack one stage, in addition to its usual effect as above.","When a Pokémon is holdingPsychium Zand uses its Z-Power,Power Trickturns intoZ-Power Trickand raises Attack one stage, in addition to its usual effect as above."
Fickle Beam,Dragon,Special,80,100,5,false,9,"Fickle Beamdeals damage with 80 base power, however there is a 30% chance for the power to double to 160.",
Feint Attack,Dark,Physical,60,,20,true,2,"Feint Attackdeals damage and ignores changes to the Accuracy and Evasion stats. However, it will not hit Pokémon during the invulnerable stage ofBounce,Dig,Dive,Fly,Phantom Force,Shadow ForceorSky Drop.","When a Pokémon is holdingDarkinium Zand uses its Z-Power,Feint Attackturns intoBlack Hole Eclipseand has base power120."
Protect,Normal,Status,,,10,false,2,"Protectprevents any attacks targeted at the user from striking, for the duration of the turn. It has priority +4 so will activate before most other moves. The move functions identically toDetect.","When a Pokémon is holdingNormalium Zand uses its Z-Power,Protectturns intoZ-Protectand eliminates any stat drops applied to the user, in addition to its usual effect as above."
Surf,Water,Special,90,100,15,false,1,Surfdeals damage. In double battles it will hit all Pokémon on the field; in triple battles it will hit all adjacent Pokémon.,"When a Pokémon is holdingWaterium Zand uses its Z-Power,Surfturns intoHydro Vortexand has base power175.Outside of battleSurfis used to cross water. While surfing, wild Pokémon may appear. It can only be used with the appropriate Gym Badge.FromGeneration 3onward it's possible to fish while surfing; previously one could only fish at the water's edge."
Shell Smash,Normal,Status,,,15,false,5,"Shell Smashlowers the user's Defense and Special Defense by one stage each, while also raising Attack, Special Attack and Speed by two stages each.","When a Pokémon is holdingNormalium Zand uses its Z-Power,Shell Smashturns intoZ-Shell Smashand eliminates any stat drops applied to the user, in addition to its usual effect as above."
Relic Song,Normal,Special,75,100,10,false,5,"May put the target to sleep.							(10% chance)Z-Move effectsWhen a Pokémon is holdingNormalium Zand uses its Z-Power,Relic Songturns intoBreakneck Blitzand has base power140.","When a Pokémon is holdingNormalium Zand uses its Z-Power,Relic Songturns intoBreakneck Blitzand has base power140."
Pain Split,Normal,Status,,,20,false,2,"The user's and opponent's HP becomes the average of both.ChangesInGeneration 2,Pain Splithas 100% accuracy.Z-Move effectsWhen a Pokémon is holdingNormalium Zand uses its Z-Power,Pain Splitturns intoZ-Pain Splitand raises Defense one stage, in addition to its usual effect as above.","When a Pokémon is holdingNormalium Zand uses its Z-Power,Pain Splitturns intoZ-Pain Splitand raises Defense one stage, in addition to its usual effect as above."
Crush Claw,Normal,Physical,75,95,10,true,3,Crush Clawdeals damage and has a 50% chance of lowering the target's Defense by one stage.,"When a Pokémon is holdingNormalium Zand uses its Z-Power,Crush Clawturns intoBreakneck Blitzand has base power140."
Copycat,Normal,Status,,,20,false,4,"Copies opponent's last move.Z-Move effectsWhen a Pokémon is holdingNormalium Zand uses its Z-Power,Copycatturns intoZ-Copycatand raises Accuracy one stage, in addition to its usual effect as above.","When a Pokémon is holdingNormalium Zand uses its Z-Power,Copycatturns intoZ-Copycatand raises Accuracy one stage, in addition to its usual effect as above."
Sludge Bomb,Poison,Special,90,100,10,false,2,Sludge Bombdeals damage and has a 30% chance of poisoning the target.,"When a Pokémon is holdingPoisonium Zand uses its Z-Power,Sludge Bombturns intoAcid Downpourand has base power175."
Thousand Arrows,Ground,Physical,90,100,10,false,6,"Thousand Arrowsdeals damage and knocks the target(s) to the ground. AnyraisedPokémon now become susceptible toGroundmoves andArena Trap. Raised Pokémon are anyFlyingtypes or those under the effects ofLevitate,Magnet RiseorTelekinesis. Full details inglossary.","When a Pokémon is holdingGroundium Zand uses its Z-Power,Thousand Arrowsturns intoTectonic Rageand has base power180."
Sharpen,Normal,Status,,,30,false,1,Sharpenraises the user's Attack by one stage.,"When a Pokémon is holdingNormalium Zand uses its Z-Power,Sharpenturns intoZ-Sharpenand raises Attack one stage, in addition to its usual effect as above."
Power-Up Punch,Fighting,Physical,40,100,20,true,6,Power-Up Punchdeals damage and raises the user's Attack by one stage.,"When a Pokémon is holdingFightinium Zand uses its Z-Power,Power-Up Punchturns intoAll-Out Pummelingand has base power100."
Heavy Slam,Steel,Physical,,100,10,true,5,"Heavy Slaminflicts more damage the heavier the user compared to the opponent. The table shows the different base powers for each ratio, wherer = UserWeight ÷ TargetWeight","When a Pokémon is holdingSteelium Zand uses its Z-Power,Heavy Slamturns intoCorkscrew Crashand has base power160."
Glaciate,Ice,Special,65,95,10,false,5,Glaciatedeals damage and lowers the target's Speed by one stage.,"When a Pokémon is holdingIcium Zand uses its Z-Power,Glaciateturns intoSubzero Slammerand has base power120."
Flying Press,Fighting,Physical,100,95,10,true,6,"Flying Pressdeals damage. It is a Fighting type move, but deals a combination of Fighting and Flying type damage. This in effect gives the move its own type chart, as shown below.","When a Pokémon is holdingFightinium Zand uses its Z-Power,Flying Pressturns intoAll-Out Pummelingand has base power170."
False Surrender,Dark,Physical,80,,10,true,8,Ignores Accuracy and Evasiveness.,
Focus Energy,Normal,Status,,,30,false,1,"Increases critical hit ratio.Z-Move effectsWhen a Pokémon is holdingNormalium Zand uses its Z-Power,Focus Energyturns intoZ-Focus Energyand raises Accuracy one stage, in addition to its usual effect as above.","When a Pokémon is holdingNormalium Zand uses its Z-Power,Focus Energyturns intoZ-Focus Energyand raises Accuracy one stage, in addition to its usual effect as above."
Rock Throw,Rock,Physical,50,90,15,false,1,Rock Throwdeals damage with no additional effect.,"When a Pokémon is holdingRockium Zand uses its Z-Power,Rock Throwturns intoContinental Crushand has base power100."
Electrify,Electric,Status,,,20,false,6,"Electrifycauses the target's move to become Electric type, if it has yet to attack during that turn.","When a Pokémon is holdingElectrium Zand uses its Z-Power,Electrifyturns intoZ-Electrifyand raises Special Attack one stage, in addition to its usual effect as above."
Crunch,Dark,Physical,80,100,15,true,2,Crunchdeals damage and has a 20% chance of lowering the target's Defense by one stage.,"When a Pokémon is holdingDarkinium Zand uses its Z-Power,Crunchturns intoBlack Hole Eclipseand has base power160."
Judgment,Normal,Special,100,100,10,false,4,"Type depends on the Arceus Plate being held.Z-Move effectsWhen a Pokémon is holdingNormalium Zand uses its Z-Power,Judgmentturns intoBreakneck Blitzand has base power180.","When a Pokémon is holdingNormalium Zand uses its Z-Power,Judgmentturns intoBreakneck Blitzand has base power180."
Heal Block,Psychic,Status,,100,15,false,4,"Prevents the opponent from restoring HP for 5 turns.Z-Move effectsWhen a Pokémon is holdingPsychium Zand uses its Z-Power,Heal Blockturns intoZ-Heal Blockand raises Special Attack two stages, in addition to its usual effect as above.","When a Pokémon is holdingPsychium Zand uses its Z-Power,Heal Blockturns intoZ-Heal Blockand raises Special Attack two stages, in addition to its usual effect as above."
Spikes,Ground,Status,,,20,false,2,"Spikeslays a trap of thorns around the foe, which hurts Pokémon switching in to the opposing field. It can be used up to three times to inflict more damage on incoming Pokémon, equal to a fraction of the Pokémon's HP as shown in the table.","When a Pokémon is holdingGroundium Zand uses its Z-Power,Spikesturns intoZ-Spikesand raises Defense one stage, in addition to its usual effect as above."
High Jump Kick,Fighting,Physical,130,90,10,true,1,"High Jump Kickdeals damage, however, if it misses the userkeeps going and crashes,losing1⁄2of its maximum HP.High Jump Kickcannot be used ifGravityis in effect.","When a Pokémon is holdingFightinium Zand uses its Z-Power,High Jump Kickturns intoAll-Out Pummelingand has base power195."
Disarming Voice,Fairy,Special,40,,15,false,6,"Disarming Voicedeals damage and ignores changes to the Accuracy and Evasion stats. However, it will not hit Pokémon during the invulnerable stage ofBounce,Dig,Dive,Fly,Shadow ForceorSky Drop.","When a Pokémon is holdingFairium Zand uses its Z-Power,Disarming Voiceturns intoTwinkle Tackleand has base power100."
Mind Reader,Normal,Status,,,5,false,2,"User's next attack is guaranteed to hit.ChangesInGenerations 2-3,Mind Readerhas 100% accuracy.Z-Move effectsWhen a Pokémon is holdingNormalium Zand uses its Z-Power,Mind Readerturns intoZ-Mind Readerand raises Special Attack one stage, in addition to its usual effect as above.","When a Pokémon is holdingNormalium Zand uses its Z-Power,Mind Readerturns intoZ-Mind Readerand raises Special Attack one stage, in addition to its usual effect as above."
Drill Peck,Flying,Physical,80,100,20,true,1,"Drill Peckdeals damage with no additional effect, besides being able to hit non-adjacent Pokémon in triple battles.","When a Pokémon is holdingFlyinium Zand uses its Z-Power,Drill Peckturns intoSupersonic Skystrikeand has base power160."
Metal Burst,Steel,Physical,,100,10,false,4,"Deals damage equal to 1.5x opponent's attack.Z-Move effectsWhen a Pokémon is holdingSteelium Zand uses its Z-Power,Metal Burstturns intoCorkscrew Crashand has base power100.","When a Pokémon is holdingSteelium Zand uses its Z-Power,Metal Burstturns intoCorkscrew Crashand has base power100."
Dragon Darts,Dragon,Physical,50,100,10,false,8,"Dragon Dartsdeals damage and hits twice. In a double battle, it hits each opponent once.",
Electroweb,Electric,Special,55,95,15,false,5,Electrowebdeals damage and lowers the target's Speed by one stage.,"When a Pokémon is holdingElectrium Zand uses its Z-Power,Electrowebturns intoGigavolt Havocand has base power100."
Giga Drain,Grass,Special,75,100,10,false,2,Giga Draindeals damage and the user will recover 50% of the HP drained.,"When a Pokémon is holdingGrassium Zand uses its Z-Power,Giga Drainturns intoBloom Doomand has base power140."
Disable,Normal,Status,,100,20,false,1,"Disablecauses the previous move the target used to bedisabledfor 1-8 turns, which prevents the move's use.","When a Pokémon is holdingNormalium Zand uses its Z-Power,Disableturns intoZ-Disableand eliminates any stat drops applied to the user, in addition to its usual effect as above."
Triple Kick,Fighting,Physical,10,90,10,true,2,"Triple Kickdeals damage and will strike three times, with each kick's base power increasing by 10. In other words the blows will be base power 10, 20 and 30 - a total of60.","When a Pokémon is holdingFightinium Zand uses its Z-Power,Triple Kickturns intoAll-Out Pummelingand has base power120."
Peck,Flying,Physical,35,100,35,true,1,"Peckdeals damage with no additional effect, besides being able to hit non-adjacent Pokémon in triple battles.","When a Pokémon is holdingFlyinium Zand uses its Z-Power,Peckturns intoSupersonic Skystrikeand has base power100."
Leaf Storm,Grass,Special,130,90,5,false,4,Leaf Stormdeals damage but lowers the user's Special Attack by two stages after attacking.,"When a Pokémon is holdingGrassium Zand uses its Z-Power,Leaf Stormturns intoBloom Doomand has base power195."
Thunder Fang,Electric,Physical,65,95,15,true,4,"Thunder Fangdeals damage, has a 10% chance of paralyzing the target, and has a 10% chance of causing the target to flinch (if the target has not yet moved).","When a Pokémon is holdingElectrium Zand uses its Z-Power,Thunder Fangturns intoGigavolt Havocand has base power120."
Vise Grip,Normal,Physical,55,100,30,true,1,Vise Gripdeals damage with no additional effect.,"When a Pokémon is holdingNormalium Zand uses its Z-Power,Vise Gripturns intoBreakneck Blitzand has base power100."
Floaty Fall,Flying,Physical,90,95,15,true,7,Floaty Falldeals damage and has a 30% chance of causing the target to flinch (if the target has not yet moved).,
Terrain Pulse,Normal,Special,50,100,10,false,8,The user utilizes the power of the terrain to attack. This move’s type and power changes depending on the terrain when it’s used.,
Thunder Cage,Electric,Special,80,90,15,false,8,"Deals damage and traps opponent, damaging them for 4-5 turns.",
Prismatic Laser,Psychic,Special,160,100,10,false,7,"The user shoots powerful lasers using the power of a prism. The user can't move on the next turn.Z-Move effectsWhen a Pokémon is holdingPsychium Zand uses its Z-Power,Prismatic Laserturns intoShattered Psycheand has base power200.","When a Pokémon is holdingPsychium Zand uses its Z-Power,Prismatic Laserturns intoShattered Psycheand has base power200."
Uproar,Normal,Special,90,100,10,false,3,"Uproarinflicts damage for 3 turns. During this time, no Pokémon on the field will be able to sleep, and any sleeping Pokémon will be woken up.","When a Pokémon is holdingNormalium Zand uses its Z-Power,Uproarturns intoBreakneck Blitzand has base power175."
Rain Dance,Water,Status,,,5,false,2,"Rain Dancecauses a rain shower that lasts for 5 turns, and induces these additional effects:","When a Pokémon is holdingWaterium Zand uses its Z-Power,Rain Danceturns intoZ-Rain Danceand raises Speed one stage, in addition to its usual effect as above."
Low Sweep,Fighting,Physical,65,100,20,true,5,Low Sweepdeals damage and lowers the target's Speed by one stage.,"When a Pokémon is holdingFightinium Zand uses its Z-Power,Low Sweepturns intoAll-Out Pummelingand has base power120."
Population Bomb,Normal,Physical,20,90,10,true,9,Hits 1-10 times in a row.,
Helping Hand,Normal,Status,,,20,false,3,"In Double Battles, boosts the power of the partner's move.Z-Move effectsWhen a Pokémon is holdingNormalium Zand uses its Z-Power,Helping Handturns intoZ-Helping Handand eliminates any stat drops applied to the user, in addition to its usual effect as above.","When a Pokémon is holdingNormalium Zand uses its Z-Power,Helping Handturns intoZ-Helping Handand eliminates any stat drops applied to the user, in addition to its usual effect as above."
Ice Shard,Ice,Physical,40,100,30,false,4,Ice Sharddeals damage and has a priority of +1.,"When a Pokémon is holdingIcium Zand uses its Z-Power,Ice Shardturns intoSubzero Slammerand has base power100."
Yawn,Normal,Status,,,10,false,3,"Yawnmakes the targetdrowsyon the turn it is used. If the target is still on the field at the end of the next turn, it falls asleep. Sleeping Pokémon cannot move (with some exceptions such asSnore). Sleep lasts for 1-3 turns.","When a Pokémon is holdingNormalium Zand uses its Z-Power,Yawnturns intoZ-Yawnand raises Speed one stage, in addition to its usual effect as above."
Sunny Day,Fire,Status,,,5,false,2,"Sunny Daycauses bright sunlight that lasts for 5 turns, and induces these additional effects:","When a Pokémon is holdingFirium Zand uses its Z-Power,Sunny Dayturns intoZ-Sunny Dayand raises Speed one stage, in addition to its usual effect as above."
Breaking Swipe,Dragon,Physical,60,100,15,true,8,Hits multiple opponents and lowers their attack.							(100% chance),
Growl,Normal,Status,,100,40,false,1,Growllowers the target's Attack by one stage.,"When a Pokémon is holdingNormalium Zand uses its Z-Power,Growlturns intoZ-Growland raises Defense one stage, in addition to its usual effect as above."
Electro Drift,Electric,Special,100,100,5,true,9,Boosted even more if it's super-effective.,
Grav Apple,Grass,Physical,80,100,10,false,8,Lowers the opponent's Defense stat.							(100% chance),
Tail Slap,Normal,Physical,25,85,10,true,5,"Tail Slaphits 2-5 times per turn used. The probability of each interval is shown in the table, with the total power after each hit.","When a Pokémon is holdingNormalium Zand uses its Z-Power,Tail Slapturns intoBreakneck Blitzand has base power140."
Solar Beam,Grass,Special,120,100,10,false,1,"The user ofSolar Beamwillabsorb lighton the first turn. On the second turn,Solar Beamdeals damage.","When a Pokémon is holdingGrassium Zand uses its Z-Power,Solar Beamturns intoBloom Doomand has base power190."
Force Palm,Fighting,Physical,60,100,10,true,4,Force Palmdeals damage and has a 30% chance of paralyzing the target.,"When a Pokémon is holdingFightinium Zand uses its Z-Power,Force Palmturns intoAll-Out Pummelingand has base power120."
Dragon Rage,Dragon,Special,,100,10,false,1,"Dragon Ragealways deals 40 HP damage to the target, regardless of typing. It has no additional effect.","When a Pokémon is holdingDragonium Zand uses its Z-Power,Dragon Rageturns intoDevastating Drakeand has base power100."
Mystical Fire,Fire,Special,75,100,10,false,6,Mystical Firedeals damage and lowers the target's Special Attack by one stage.,"When a Pokémon is holdingFirium Zand uses its Z-Power,Mystical Fireturns intoInferno Overdriveand has base power140."
Assurance,Dark,Physical,60,100,10,true,4,"Assurancedeals damage, and if the target has already taken damage in this turn its power doubles to 120.","When a Pokémon is holdingDarkinium Zand uses its Z-Power,Assuranceturns intoBlack Hole Eclipseand has base power120."
Selfdestruct,Normal,Physical,200,100,5,false,1,"Self-Destructdeals high damage, but causes the user to faint.","When a Pokémon is holdingNormalium Zand uses its Z-Power,Self-Destructturns intoBreakneck Blitzand has base power200."
Ice Punch,Ice,Physical,75,100,15,true,1,Ice Punchdeals damage and has a 10% chance of freezing the target.,"When a Pokémon is holdingIcium Zand uses its Z-Power,Ice Punchturns intoSubzero Slammerand has base power140."
Fusion Flare,Fire,Special,100,100,5,false,5,"Fusion Flaredeals damage, and its power doubles to200ifFusion Bolthas been used before it in the same turn. If this happensFusion Flare'sanimation will change to look more epic.","When a Pokémon is holdingFirium Zand uses its Z-Power,Fusion Flareturns intoInferno Overdriveand has base power180."
Taunt,Dark,Status,,100,20,false,3,Tauntprevents the target from using Status-category moves for three turns.,"When a Pokémon is holdingDarkinium Zand uses its Z-Power,Tauntturns intoZ-Tauntand raises Attack one stage, in addition to its usual effect as above."
Superpower,Fighting,Physical,120,100,5,true,3,Superpowerdeals damage but lowers the user's Attack and Defense by one stage each after attacking.,"When a Pokémon is holdingFightinium Zand uses its Z-Power,Superpowerturns intoAll-Out Pummelingand has base power190."
Topsy-Turvy,Dark,Status,,,20,false,6,Topsy-Turvyreverses the stat changes of the target Pokémon.,"When a Pokémon is holdingDarkinium Zand uses its Z-Power,Topsy-Turvyturns intoZ-Topsy-Turvyand raises Attack one stage, in addition to its usual effect as above."
Branch Poke,Grass,Physical,40,100,40,true,8,Branch Poke has no added effects.,
Worry Seed,Grass,Status,,100,10,false,4,"Worry Seedchanges the target's ability toInsomnia, which prevents the Pokémon from falling asleep. If the move is used on a sleeping Pokémon, it will wake up on its next turn.","When a Pokémon is holdingGrassium Zand uses its Z-Power,Worry Seedturns intoZ-Worry Seedand raises Speed one stage, in addition to its usual effect as above."
Buzzy Buzz,Electric,Special,90,100,15,false,7,Buzzy Buzzdeals damage and paralyzes the target.,
String Shot,Bug,Status,,95,40,false,1,String Shotlowers the target's Speed by two stages.,"When a Pokémon is holdingBuginium Zand uses its Z-Power,String Shotturns intoZ-String Shotand raises Speed one stage, in addition to its usual effect as above."
Fly,Flying,Physical,90,95,15,true,1,"The user ofFlywillfly up highon the first turn, disappearing from view and becoming invulnerable to most attacks. On the second turn,Flydeals damage.","When a Pokémon is holdingFlyinium Zand uses its Z-Power,Flyturns intoSupersonic Skystrikeand has base power175.Outside of battleFlyallows you to fly instantly to any PokéCenter you have already visited during the course of the game (or certain other prominent locations). It can only be used with the appropriate Gym Badge."
Speed Swap,Psychic,Status,,,10,false,7,"The user exchanges Speed stats with the target.Z-Move effectsWhen a Pokémon is holdingPsychium Zand uses its Z-Power,Speed Swapturns intoZ-Speed Swapand raises Speed one stage, in addition to its usual effect as above.","When a Pokémon is holdingPsychium Zand uses its Z-Power,Speed Swapturns intoZ-Speed Swapand raises Speed one stage, in addition to its usual effect as above."
Brine,Water,Special,65,100,10,false,4,"Power doubles if opponent's HP is less than 50%.Z-Move effectsWhen a Pokémon is holdingWaterium Zand uses its Z-Power,Brineturns intoHydro Vortexand has base power120.","When a Pokémon is holdingWaterium Zand uses its Z-Power,Brineturns intoHydro Vortexand has base power120."
Vine Whip,Grass,Physical,45,100,25,true,1,Vine Whipdeals damage with no additional effect.,"When a Pokémon is holdingGrassium Zand uses its Z-Power,Vine Whipturns intoBloom Doomand has base power100."
